frame_count,algorithm,left_workload,right_workload,left_faults,right_faults,fault_delta_right_minus_left,left_hit_rate,right_hit_rate,better
3,fifo,mobile-app-session,reporting-scan-session,53,24,-29,0.116667,0.0,right
3,clock,mobile-app-session,reporting-scan-session,53,24,-29,0.116667,0.0,right
3,aging,mobile-app-session,reporting-scan-session,51,24,-27,0.15,0.0,right
3,wsclock,mobile-app-session,reporting-scan-session,51,24,-27,0.15,0.0,right
3,lru,mobile-app-session,reporting-scan-session,51,24,-27,0.15,0.0,right
3,opt,mobile-app-session,reporting-scan-session,37,18,-19,0.383333,0.25,right
4,fifo,mobile-app-session,reporting-scan-session,50,24,-26,0.166667,0.0,right
4,clock,mobile-app-session,reporting-scan-session,50,24,-26,0.166667,0.0,right
4,aging,mobile-app-session,reporting-scan-session,48,24,-24,0.2,0.0,right
4,wsclock,mobile-app-session,reporting-scan-session,48,24,-24,0.2,0.0,right
4,lru,mobile-app-session,reporting-scan-session,48,24,-24,0.2,0.0,right
4,opt,mobile-app-session,reporting-scan-session,33,18,-15,0.45,0.25,right
5,fifo,mobile-app-session,reporting-scan-session,44,24,-20,0.266667,0.0,right
5,clock,mobile-app-session,reporting-scan-session,44,24,-20,0.266667,0.0,right
5,aging,mobile-app-session,reporting-scan-session,38,24,-14,0.366667,0.0,right
5,wsclock,mobile-app-session,reporting-scan-session,38,24,-14,0.366667,0.0,right
5,lru,mobile-app-session,reporting-scan-session,38,24,-14,0.366667,0.0,right
5,opt,mobile-app-session,reporting-scan-session,31,18,-13,0.483333,0.25,right
6,fifo,mobile-app-session,reporting-scan-session,41,22,-19,0.316667,0.083333,right
6,clock,mobile-app-session,reporting-scan-session,41,22,-19,0.316667,0.083333,right
6,aging,mobile-app-session,reporting-scan-session,37,20,-17,0.383333,0.166667,right
6,wsclock,mobile-app-session,reporting-scan-session,37,20,-17,0.383333,0.166667,right
6,lru,mobile-app-session,reporting-scan-session,37,20,-17,0.383333,0.166667,right
6,opt,mobile-app-session,reporting-scan-session,30,18,-12,0.5,0.25,right
7,fifo,mobile-app-session,reporting-scan-session,41,22,-19,0.316667,0.083333,right
7,clock,mobile-app-session,reporting-scan-session,41,22,-19,0.316667,0.083333,right
7,aging,mobile-app-session,reporting-scan-session,35,20,-15,0.416667,0.166667,right
7,wsclock,mobile-app-session,reporting-scan-session,35,20,-15,0.416667,0.166667,right
7,lru,mobile-app-session,reporting-scan-session,35,20,-15,0.416667,0.166667,right
7,opt,mobile-app-session,reporting-scan-session,30,18,-12,0.5,0.25,right
8,fifo,mobile-app-session,reporting-scan-session,35,20,-15,0.416667,0.166667,right
8,clock,mobile-app-session,reporting-scan-session,35,20,-15,0.416667,0.166667,right
8,aging,mobile-app-session,reporting-scan-session,35,18,-17,0.416667,0.25,right
8,wsclock,mobile-app-session,reporting-scan-session,35,18,-17,0.416667,0.25,right
8,lru,mobile-app-session,reporting-scan-session,35,18,-17,0.416667,0.25,right
8,opt,mobile-app-session,reporting-scan-session,30,18,-12,0.5,0.25,right
